variable,predictor_role,variable_type,clinical_domain,candidate_logic_type,approx_df,max_missing_pct_stage3,min_n_model_stage3,n_missing_predictor_max,best_effect_1y,best_p_1y,best_q_1y,best_contrast_1y,effect_measure_1y,best_effect_survival,best_p_survival,best_q_survival,best_contrast_survival,effect_measure_survival,best_effect_hosp,best_p_hosp,best_q_hosp,best_contrast_hosp,effect_measure_hosp,has_stage3_signal_1y,has_stage3_signal_survival,has_stage3_signal_hosp,consistent_signal_count,any_p_below_0_05,any_q_below_0_10,clinical_overlap_flag,clinical_overlap_summary,statistical_collinearity_flag,soft_correlation_flag,top_soft_correlation_partner,top_soft_correlation_abs_rho,external_clinical_priority,external_clinical_priority_source,external_clinical_priority_reason,evidence_source_type,data_signal_discovery_candidate,innovation_potential,clinical_plausibility,novelty_rationale,stage3_signal_is_descriptive_only,inclusion_not_based_on_pvalue,outcome_relevance_flag_1y,outcome_relevance_flag_survival,outcome_relevance_flag_hosp,rationale_1y,rationale_survival,rationale_hosp,preliminary_recommendation,committee_review_priority,notes_for_committee
TissueDopplerEVelosityLateral,main_candidate,continuous,Diastolic / filling pressure,primary_clinical_supporting,1,0.1770186335403726,509,114,1.2020477829342469,0.0437193533649513,0.1378841144586926,per 1 SD increase,OR,0.9964339441813224,0.946649739080919,0.946649739080919,per 1 SD increase,HR,0.9009144343560606,0.0890903594356705,0.1818211015642916,per 1 SD increase,IRR,True,False,False,1,True,False,False,no overlap flag,False,True,TissueDopplerEERatioLateral,0.6685,data_signal_discovery,Stage 3 descriptive signal,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,limited,limited,Stage 3 descriptive OR=1.202 (per 1 SD increase); p<0.05; elevated,Stage 3 descriptive p=0.947 (no signal),Stage 3 descriptive p=0.089 (no signal),overlap_review_needed,medium,Soft Spearman correlation with TissueDopplerEERatioLateral (|rho|=0.67); split across main/sensitivity if needed.
TissueDopplerEVelositySeptal,main_candidate,continuous,Diastolic / filling pressure,primary_clinical_supporting,1,0.1770186335403726,509,114,0.9230826230642324,0.3916552317762554,0.6176101731856336,per 1 SD increase,OR,0.8123955673574529,0.0007253199892281,0.0027034654143959,per 1 SD increase,HR,0.7934927892785079,0.0003749215984511,0.002561964256083,per 1 SD increase,IRR,False,True,True,2,True,True,False,no overlap flag,False,True,TissueDopplerEERatioSeptal,0.6766,data_signal_discovery,Stage 3 descriptive signal,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,limited,supported,supported,Stage 3 descriptive p=0.392 (no signal),Stage 3 descriptive HR=0.812 (per 1 SD increase); p<0.05; reduced,Stage 3 descriptive IRR=0.793 (per 1 SD increase); p<0.05; reduced,overlap_review_needed,medium,Soft Spearman correlation with TissueDopplerEERatioSeptal (|rho|=0.68); split across main/sensitivity if needed.
EstimatedSysPAPressure,main_candidate,continuous,Pulmonary pressure / right-sided burden,primary_echo_domain,1,0.1701782820097244,512,108,1.1896307060868807,0.0536978009820297,0.1531829819175197,per 1 SD increase,OR,1.199171467205739,0.0002083016906678,0.0010675461646727,per 1 SD increase,HR,1.2115824492116103,0.0007813082625676,0.0032033638765271,per 1 SD increase,IRR,False,True,True,2,True,True,True,overlap with: ECHO_SPAP (pulmonary_pressure),False,False,,,cardiology_prioritized,Cardiology input,Pulmonary pressure (continuous SPAP) was prioritized by cardiology input.,cardiology_prior,False,low,high,Established/expected predictor.,True,True,supported,supported,supported,cardiology prior; Stage 3 descriptive p=0.054 (no signal),cardiology prior; Stage 3 descriptive HR=1.199 (per 1 SD increase); p<0.05; elevated,Stage 3 descriptive IRR=1.212 (per 1 SD increase); p<0.05; elevated,strong_clinical_echo_candidate,high,
days_echo_to_dialysis,main_candidate,continuous,Echo timing / provenance,sensitivity_or_timing,1,0.0,617,0,0.8992664460036704,0.1975212654073238,0.3521031252913164,per 1 SD increase,OR,0.9146311704184272,0.042730756488928,0.0834267150498119,per 1 SD increase,HR,0.9392775108428236,0.2219744596442665,0.3370723276079603,per 1 SD increase,IRR,False,True,False,1,True,True,False,no overlap flag,False,False,,,data_signal_discovery,Stage 3 descriptive signal,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,limited,supported,limited,Stage 3 descriptive p=0.198 (no signal),Stage 3 descriptive HR=0.915 (per 1 SD increase); p<0.05; reduced,Stage 3 descriptive p=0.222 (no signal),data_signal_discovery_candidate,medium,
AFIB_binary,main_candidate,categorical,Comorbidity,primary_clinical_supporting,1,0.0,617,0,1.7177333491063156,0.0011746597982504,0.0068801502468952,1 vs 0,OR,1.4264356592234877,7.159190219119331e-05,0.0004892113316398,1 vs 0,HR,1.1882209485261876,0.0975625423027906,0.1818211015642916,1 vs 0,IRR,True,True,False,2,True,True,False,no overlap flag,False,False,,,data_signal_discovery,Stage 3 descriptive signal,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,supported,limited,Stage 3 descriptive OR=1.718 (1 vs 0); p<0.05; elevated,Stage 3 descriptive HR=1.426 (1 vs 0); p<0.05; elevated,Stage 3 descriptive p=0.098 (no signal),data_signal_discovery_candidate,medium,
CABG_binary,main_candidate,categorical,Comorbidity,primary_clinical_supporting,1,0.0,617,0,1.3231740167782562,0.1649247234069821,0.3073597118039213,1 vs 0,OR,1.1861979104884364,0.1148512440809095,0.2049276469095256,1 vs 0,HR,1.4534225478641267,0.0031623197647301,0.0117868282139943,1 vs 0,IRR,False,False,True,1,True,True,False,no overlap flag,False,False,,,data_signal_discovery,Stage 3 descriptive signal,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,limited,limited,supported,Stage 3 descriptive p=0.165 (no signal),Stage 3 descriptive p=0.115 (no signal),Stage 3 descriptive IRR=1.453 (1 vs 0); p<0.05; elevated,data_signal_discovery_candidate,medium,
COPD_binary,main_candidate,categorical,Comorbidity,primary_clinical_supporting,1,0.0,617,0,0.8539598332702085,0.485720855999992,0.6731271189583196,1 vs 0,OR,1.2857433110878402,0.0328718562623898,0.0709340056188412,1 vs 0,HR,1.2140253140013906,0.1562193488200773,0.2561997320649268,1 vs 0,IRR,False,True,False,1,True,True,False,no overlap flag,False,False,,,data_signal_discovery,Stage 3 descriptive signal,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,limited,supported,limited,Stage 3 descriptive p=0.486 (no signal),Stage 3 descriptive HR=1.286 (1 vs 0); p<0.05; elevated,Stage 3 descriptive p=0.156 (no signal),data_signal_discovery_candidate,medium,
Diabetes mellitus_binary,main_candidate,categorical,Comorbidity,core_adjustment,1,0.0,617,0,1.1465753424657463,0.4228557589342582,0.6421143006038735,0 vs 1,OR,0.9609889855124628,0.6691324062533961,0.7441128631745729,0 vs 1,HR,0.7883959490582821,0.0293933044842622,0.0803416989236502,0 vs 1,IRR,False,False,True,1,True,True,False,no overlap flag,False,False,,,core_adjustment,Methodological,Standard adjustment / confounder rationale; consider as core adjustment regardless of univariable signal.,data_signal,True,high,high,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,supported,supported,core adjustment / confounder; Stage 3 descriptive p=0.423 (no signal),core adjustment / confounder; Stage 3 descriptive p=0.669 (no signal),core adjustment / confounder; Stage 3 descriptive IRR=0.788 (0 vs 1); p<0.05; reduced,core_adjustment_candidate,high,
HD/PD,main_candidate,categorical,Dialysis modality,core_adjustment,1,0.0,617,0,0.8019771393266,0.2888822217425817,0.4935071288102438,PD vs HD,OR,1.172470225467247,0.1455584652383049,0.2295345028757886,PD vs HD,HR,1.2670009847925283,0.0549245076991619,0.1251058230925355,PD vs HD,IRR,False,False,False,0,False,False,False,no overlap flag,False,False,,,core_adjustment,Methodological,Standard adjustment / confounder rationale; consider as core adjustment regardless of univariable signal.,core_adjustment,False,low,high,Established/expected predictor.,True,True,supported,supported,supported,core adjustment / confounder; Stage 3 descriptive p=0.289 (no signal),core adjustment / confounder; Stage 3 descriptive p=0.146 (no signal),core adjustment / confounder; Stage 3 descriptive p=0.055 (no signal),core_adjustment_candidate,high,
HTN_binary,main_candidate,categorical,Comorbidity,core_adjustment,1,0.0,617,0,2.2056347907410774,0.0002772213934758,0.0018943461887519,0 vs 1,OR,1.2783610036782411,0.0376626550316662,0.0772084428149157,0 vs 1,HR,1.6150882314486363,0.0005466689447077,0.0027793704285293,0 vs 1,IRR,True,True,True,3,True,True,False,no overlap flag,False,False,,,core_adjustment,Methodological,Standard adjustment / confounder rationale; consider as core adjustment regardless of univariable signal.,data_signal,True,high,high,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,supported,supported,core adjustment / confounder; Stage 3 descriptive OR=2.206 (0 vs 1); p<0.05; elevated,core adjustment / confounder; Stage 3 descriptive HR=1.278 (0 vs 1); p<0.05; elevated,core adjustment / confounder; Stage 3 descriptive IRR=1.615 (0 vs 1); p<0.05; elevated,core_adjustment_candidate,high,
IHD_binary,main_candidate,categorical,Comorbidity,core_adjustment,1,0.0,617,0,0.9491850431447793,0.7592345625324494,0.9002119142442218,0 vs 1,OR,0.7568872692693425,0.0030331940094215,0.0077725596491426,0 vs 1,HR,0.8116124299860189,0.0501571534520945,0.1251058230925355,0 vs 1,IRR,False,True,False,1,True,True,False,no overlap flag,False,False,,,core_adjustment,Methodological,Standard adjustment / confounder rationale; consider as core adjustment regardless of univariable signal.,data_signal,True,high,high,Data-informed signal with clinical plausibility; warrants committee review.,True,True,supported,supported,supported,core adjustment / confounder; Stage 3 descriptive p=0.759 (no signal),core adjustment / confounder; Stage 3 descriptive HR=0.757 (0 vs 1); p<0.05; reduced,core adjustment / confounder; Stage 3 descriptive p=0.050 (no signal),core_adjustment_candidate,high,
MI_binary,main_candidate,categorical,Comorbidity,primary_clinical_supporting,1,0.0,617,0,0.8833910034602201,0.492532038262185,0.6731271189583196,1 vs 0,OR,1.0874632549467718,0.3770560643954815,0.4684635951580225,1 vs 0,HR,0.990738447522285,0.9341237954936557,0.9574768903809968,1 vs 0,IRR,False,False,False,0,False,False,False,no overlap flag,False,False,,,overlap_representative,Methodological,Available main candidate; may serve as a domain representative pending committee review.,supporting,False,low,uncertain,,True,True,limited,limited,limited,Stage 3 descriptive p=0.493 (no signal),Stage 3 descriptive p=0.377 (no signal),Stage 3 descriptive p=0.934 (no signal),needs_committee_review,low,
m/f,main_candidate,categorical,Demographics,core_adjustment,1,0.0016207455429497,616,1,1.009090909090909,0.959668646633253,0.959668646633253,f vs m,OR,1.0392941550899923,0.6896655805032628,0.7441128631745729,f vs m,HR,1.0957637633800346,0.4142862549657167,0.5661912151198129,f vs m,IRR,False,False,False,0,False,False,False,no overlap flag,False,False,,,core_adjustment,Methodological,Standard adjustment / confounder rationale; consider as core adjustment regardless of univariable signal.,core_adjustment,False,low,high,Established/expected predictor.,True,True,supported,supported,supported,core adjustment / confounder; Stage 3 descriptive p=0.960 (no signal),core adjustment / confounder; Stage 3 descriptive p=0.690 (no signal),core adjustment / confounder; Stage 3 descriptive p=0.414 (no signal),core_adjustment_candidate,high,
LACavitySize,main_candidate,categorical,LA / chronic filling burden,primary_echo_domain,3,0.0667701863354037,578,43,2.0872210953346686,0.0337784158090769,0.1259013680156502,Severely dilated vs Mildly dilated,OR,1.896722880270236,0.0003636926473152,0.0014911398539925,Severely dilated vs Mildly dilated,HR,1.45764337879927,0.0948859295195378,0.1818211015642916,Severely dilated vs Mildly dilated,IRR,True,True,False,2,True,True,False,no overlap flag,False,False,,,literature_supported,Literature (uremia/dialysis cohorts),LA size is literature-supported as a chronic filling burden marker.,literature_support,False,medium,high,,True,True,supported,supported,supported,cardiology prior; Stage 3 descriptive OR=2.087 (Severely dilated vs Mildly dilated); p<0.05; elevated,cardiology prior; Stage 3 descriptive HR=1.897 (Severely dilated vs Mildly dilated); p<0.05; elevated,Stage 3 descriptive p=0.095 (no signal),literature_supported_echo_candidate,medium,
ECHO_SPAP,main_candidate,categorical,Pulmonary pressure / right-sided burden,primary_echo_domain,3,0.1880064829821718,501,119,0.6296805221573455,0.0597787246507394,0.1531829819175197,Mildly increased vs Severely increased,OR,0.6341044384643224,0.0021353812358228,0.0058367087112491,Normal vs Severely increased,HR,0.6286108845030994,0.0067850676145036,0.0220102790835289,Normal vs Severely increased,IRR,False,True,True,2,True,True,True,overlap with: EstimatedSysPAPressure (pulmonary_pressure),False,False,,,cardiology_prioritized,Cardiology input,Categorical SPAP is the alternative pulmonary-pressure representation; do not include with EstimatedSysPAPressure simultaneously without a plan.,cardiology_prior,False,low,high,Established/expected predictor.,True,True,supported,supported,supported,cardiology prior; Stage 3 descriptive p=0.060 (no signal),cardiology prior; Stage 3 descriptive HR=0.634 (Normal vs Severely increased); p<0.05; reduced,Stage 3 descriptive IRR=0.629 (Normal vs Severely increased); p<0.05; reduced,strong_clinical_echo_candidate,high,
tricuspid_regurgitation_clin_grouped,main_candidate,categorical,Valvular disease,primary_echo_domain,3,0.0713128038897893,573,45,0.3745000000004307,4.831670509859278e-05,0.0003998726650015,Trivial vs Mild (I),OR,1.7425004590484034,3.854385916624008e-06,3.160596451631686e-05,Moderate-to-Severe vs Mild (I),HR,0.4868506172756897,1.4182311329360917e-07,1.9382492150126583e-06,Trivial vs Mild (I),IRR,True,True,True,3,True,True,False,no overlap flag,False,False,,,cardiology_prioritized,Cardiology input,Tricuspid regurgitation was prioritized by cardiology input and may reflect right-sided/pulmonary burden.,cardiology_prior,False,low,high,Established/expected predictor.,True,True,supported,supported,supported,cardiology prior; Stage 3 descriptive OR=0.375 (Trivial vs Mild (I)); p<0.05; reduced,cardiology prior; Stage 3 descriptive HR=1.743 (Moderate-to-Severe vs Mild (I)); p<0.05; elevated,Stage 3 descriptive IRR=0.487 (Trivial vs Mild (I)); p<0.05; reduced,strong_clinical_echo_candidate,high,
mitral_regurgitation_clin_grouped,main_candidate,categorical,Valvular disease,primary_clinical_supporting,3,0.0745542949756888,571,48,1.3812789620018455,0.1613769409207761,0.3073597118039213,Moderate-to-Severe vs Mild (I),OR,1.307648678867097,0.0317226660733297,0.0709340056188412,Moderate-to-Severe vs Mild (I),HR,0.8526323780099032,0.2521813210047648,0.3692655057569771,Trivial vs Mild (I),IRR,False,True,False,1,True,True,False,no overlap flag,False,False,,,data_signal_discovery,Stage 3 descriptive signal,Univariable signal in at least one outcome; not a cardiology-prioritized variable.,data_signal,True,high,medium,Data-informed signal with clinical plausibility; warrants committee review.,True,True,limited,supported,limited,Stage 3 descriptive p=0.161 (no signal),Stage 3 descriptive HR=1.308 (Moderate-to-Severe vs Mild (I)); p<0.05; elevated,Stage 3 descriptive p=0.252 (no signal),data_signal_discovery_candidate,medium,
echo_to_dialysis_timing_category,timing_sensitivity_only,categorical,Echo timing / provenance,sensitivity_or_timing,6,0.0,617,0,0.5703333333346331,0.0322759988431076,0.1259013680156502,after_dialysis vs before_181_365d,OR,0.6473307049476872,0.0017908535808729,0.0052446426296993,after_dialysis vs before_181_365d,HR,0.4060575185375779,0.0530710310820303,0.1251058230925355,same_day vs before_181_365d,IRR,True,True,False,2,True,True,False,no overlap flag,False,False,,,timing_sensitivity_only,Methodological,Timing/provenance variable; not a primary biological predictor.,supporting,False,low,uncertain,,True,True,supported,supported,limited,Stage 3 descriptive OR=0.570 (after_dialysis vs before_181_365d); p<0.05; reduced,Stage 3 descriptive HR=0.647 (after_dialysis vs before_181_365d); p<0.05; reduced,Stage 3 descriptive p=0.053 (no signal),timing_sensitivity_only,sensitivity,
